source_file,json_path,title,year,num_scenes,avg_scene_chars,status,method,error
selected_transcripts2/Jumanji Welcome to the Jungle _2017_ - full transcript.txt,processed3_transcripts/jumanji-welcome-to-the-jungle-2017-full-transcript-txt.json,Jumanji Welcome to the Jungle,2017,23.0,2257.0,ok,punct_chunk_2200,
selected_transcripts2/Klaus _2019_ - full transcript.txt,processed3_transcripts/klaus-2019-full-transcript-txt.json,Klaus,2019,19.0,2272.0,ok,punct_chunk_2200,
selected_transcripts2/Kids vs. Aliens _2022_ - full transcript.txt,processed3_transcripts/kids-vs-aliens-2022-full-transcript-txt.json,Kids vs. Aliens,2022,90.0,347.0,ok,headings_or_brackets,
selected_transcripts2/Leaving Las Vegas _1995_ - full transcript.txt,processed3_transcripts/leaving-las-vegas-1995-full-transcript-txt.json,Leaving Las Vegas,1995,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/Kingsman The Secret Service _2014_ - full transcript.txt,processed3_transcripts/kingsman-the-secret-service-2014-full-transcript-txt.json,Kingsman The Secret Service,2014,25.0,2220.0,ok,punct_chunk_2200,
selected_transcripts2/La La Land _2016_ - full transcript.txt,processed3_transcripts/la-la-land-2016-full-transcript-txt.json,La La Land,2016,9.0,4819.0,ok,headings_or_brackets,
selected_transcripts2/Lethal Weapon _1987_ - full transcript.txt,processed3_transcripts/lethal-weapon-1987-full-transcript-txt.json,Lethal Weapon,1987,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/Legally Blonde _2001_ - full transcript.txt,processed3_transcripts/legally-blonde-2001-full-transcript-txt.json,Legally Blonde,2001,21.0,2334.0,ok,punct_chunk_2200,
selected_transcripts2/Les Miserables _1978_ - full transcript.txt,processed3_transcripts/les-miserables-1978-full-transcript-txt.json,Les Miserables,1978,16.0,2231.0,ok,punct_chunk_2200,
selected_transcripts2/Life of Pi _2012_ - full transcript.txt,processed3_transcripts/life-of-pi-2012-full-transcript-txt.json,Life of Pi,2012,16.0,2239.0,ok,punct_chunk_2200,
selected_transcripts2/Knocked Up _2007_ - full transcript.txt,processed3_transcripts/knocked-up-2007-full-transcript-txt.json,Knocked Up,2007,45.0,2305.0,ok,punct_chunk_2200,
selected_transcripts2/Little Miss Sunshine _2006_ - full transcript.txt,processed3_transcripts/little-miss-sunshine-2006-full-transcript-txt.json,Little Miss Sunshine,2006,21.0,2301.0,ok,punct_chunk_2200,
selected_transcripts2/Lost in Translation _2003_ - full transcript.txt,processed3_transcripts/lost-in-translation-2003-full-transcript-txt.json,Lost in Translation,2003,14.0,2216.0,ok,punct_chunk_2200,
selected_transcripts2/Little Children _2006_ - full transcript.txt,processed3_transcripts/little-children-2006-full-transcript-txt.json,Little Children,2006,28.0,2221.0,ok,punct_chunk_2200,
selected_transcripts2/Mad Max Fury Road _2015_ - full transcript.txt,processed3_transcripts/mad-max-fury-road-2015-full-transcript-txt.json,Mad Max Fury Road,2015,81.0,294.0,ok,headings_or_brackets,
selected_transcripts2/Manchester by the Sea _2016_ - full transcript.txt,processed3_transcripts/manchester-by-the-sea-2016-full-transcript-txt.json,Manchester by the Sea,2016,28.0,2313.0,ok,punct_chunk_2200,
selected_transcripts2/Marley _ Me _2008_ - full transcript.txt,processed3_transcripts/marley-me-2008-full-transcript-txt.json,Marley   Me,2008,30.0,2287.0,ok,punct_chunk_2200,
selected_transcripts2/Mamma Mia_ _2008_ - full transcript.txt,processed3_transcripts/mamma-mia-2008-full-transcript-txt.json,Mamma Mia,2008,94.0,580.0,ok,headings_or_brackets,
selected_transcripts2/Mary Poppins _1964_ - full transcript.txt,processed3_transcripts/mary-poppins-1964-full-transcript-txt.json,Mary Poppins,1964,31.0,2309.0,ok,punct_chunk_2200,
selected_transcripts2/Mean Girls _2004_ - full transcript.txt,processed3_transcripts/mean-girls-2004-full-transcript-txt.json,Mean Girls,2004,28.0,2232.0,ok,punct_chunk_2200,
selected_transcripts2/Memento _2000_ - full transcript.txt,processed3_transcripts/memento-2000-full-transcript-txt.json,Memento,2000,23.0,2217.0,ok,punct_chunk_2200,
selected_transcripts2/Meet the Parents _2000_ - full transcript.txt,processed3_transcripts/meet-the-parents-2000-full-transcript-txt.json,Meet the Parents,2000,25.0,2270.0,ok,punct_chunk_2200,
selected_transcripts2/Memories of Murder _2003_ - full transcript.txt,processed3_transcripts/memories-of-murder-2003-full-transcript-txt.json,Memories of Murder,2003,19.0,2200.0,ok,punct_chunk_2200,
selected_transcripts2/Miles Davis Birth of the Cool _2019_ - full transcript.txt,processed3_transcripts/miles-davis-birth-of-the-cool-2019-full-transcript-txt.json,Miles Davis Birth of the Cool,2019,26.0,2210.0,ok,punct_chunk_2200,
selected_transcripts2/Mission Impossible - Fallout _2018_ - full transcript.txt,processed3_transcripts/mission-impossible-fallout-2018-full-transcript-txt.json,Mission Impossible - Fallout,2018,22.0,2226.0,ok,punct_chunk_2200,
selected_transcripts2/Million Dollar Baby _2004_ - full transcript.txt,processed3_transcripts/million-dollar-baby-2004-full-transcript-txt.json,Million Dollar Baby,2004,25.0,2229.0,ok,punct_chunk_2200,
selected_transcripts2/Monty Python and the Holy Grail _1975_ - full transcript.txt,processed3_transcripts/monty-python-and-the-holy-grail-1975-full-transcript-txt.json,Monty Python and the Holy Grail,1975,18.0,2272.0,ok,punct_chunk_2200,
selected_transcripts2/Mulholland Drive _2001_ - full transcript.txt,processed3_transcripts/mulholland-drive-2001-full-transcript-txt.json,Mulholland Drive,2001,14.0,2257.0,ok,punct_chunk_2200,
selected_transcripts2/Napoleon Dynamite _2004_ - full transcript.txt,processed3_transcripts/napoleon-dynamite-2004-full-transcript-txt.json,Napoleon Dynamite,2004,13.0,2300.0,ok,punct_chunk_2200,
selected_transcripts2/My Girl _1991_ - full transcript.txt,processed3_transcripts/my-girl-1991-full-transcript-txt.json,My Girl,1991,20.0,2214.0,ok,punct_chunk_2200,
selected_transcripts2/No Country for Old Men _2007_ - full transcript.txt,processed3_transcripts/no-country-for-old-men-2007-full-transcript-txt.json,No Country for Old Men,2007,16.0,2188.0,ok,punct_chunk_2200,
selected_transcripts2/Oldboy _2003_ - full transcript.txt,processed3_transcripts/oldboy-2003-full-transcript-txt.json,Oldboy,2003,14.0,2228.0,ok,punct_chunk_2200,
selected_transcripts2/Philadelphia _1993_ - full transcript.txt,,,,,,skipped_non_english,,
selected_transcripts2/Now You See Me _2013_ - full transcript.txt,processed3_transcripts/now-you-see-me-2013-full-transcript-txt.json,Now You See Me,2013,27.0,2236.0,ok,punct_chunk_2200,
selected_transcripts2/Natural Born Killers _1994_ - full transcript.txt,processed3_transcripts/natural-born-killers-1994-full-transcript-txt.json,Natural Born Killers,1994,94.0,559.0,ok,headings_or_brackets,
selected_transcripts2/Paddington _2014_ - full transcript.txt,processed3_transcripts/paddington-2014-full-transcript-txt.json,Paddington,2014,22.0,2253.0,ok,punct_chunk_2200,
selected_transcripts2/Predestination _2014_ - full transcript.txt,processed3_transcripts/predestination-2014-full-transcript-txt.json,Predestination,2014,19.0,2262.0,ok,punct_chunk_2200,
selected_transcripts2/Pink Flamingos _1972_ - full transcript.txt,processed3_transcripts/pink-flamingos-1972-full-transcript-txt.json,Pink Flamingos,1972,30.0,2242.0,ok,punct_chunk_2200,
selected_transcripts2/Pitch Perfect _2012_ - full transcript.txt,processed3_transcripts/pitch-perfect-2012-full-transcript-txt.json,Pitch Perfect,2012,27.0,2239.0,ok,punct_chunk_2200,
selected_transcripts2/Primer _2004_ - full transcript.txt,processed3_transcripts/primer-2004-full-transcript-txt.json,Primer,2004,23.0,2217.0,ok,punct_chunk_2200,
selected_transcripts2/Psycho _1960_ - full transcript.txt,processed3_transcripts/psycho-1960-full-transcript-txt.json,Psycho,1960,20.0,2189.0,ok,punct_chunk_2200,
selected_transcripts2/Ronin _1998_ - full transcript.txt,processed3_transcripts/ronin-1998-full-transcript-txt.json,Ronin,1998,1.0,2866.0,ok,single_or_short,
selected_transcripts2/Prisoners _2013_ - full transcript.txt,processed3_transcripts/prisoners-2013-full-transcript-txt.json,Prisoners,2013,24.0,2230.0,ok,punct_chunk_2200,
selected_transcripts2/Requiem for a Dream _2000_ - full transcript.txt,processed3_transcripts/requiem-for-a-dream-2000-full-transcript-txt.json,Requiem for a Dream,2000,17.0,2250.0,ok,punct_chunk_2200,
